code,discount,prefix
KLUJE-Dn5K5A4,50,"$"
KLUJE-AUXAduA,50,"$"
KLUJE-j1RmxuY,50,"$"
KLUJE-SdbHUpQ,50,"$"
KLUJE-h72qfm4,50,"$"
KLUJE-3zHd2H4,50,"$"
KLUJE-0yh02f8,50,"$"
KLUJE-NQZyS7E,50,"$"
KLUJE-sI9B3bA,50,"$"
KLUJE-DAHHH14,50,"$"
KLUJE-Z3mAZxs,50,"$"
KLUJE-9zZKFlY,50,"$"
KLUJE-3yxS3vU,50,"$"
KLUJE-t339pRI,50,"$"
KLUJE-1I7c7Kg,50,"$"
KLUJE-5GPjQb8,50,"$"
KLUJE-wVrIqx4,50,"$"
KLUJE-RWFGQFM,50,"$"
KLUJE-aI_VQQA,50,"$"
KLUJE-_MaeITo,50,"$"
KLUJE-9rlqvmU,50,"$"
KLUJE-gEfQ7d0,50,"$"
KLUJE-GI17WUo,50,"$"
KLUJE-mqCV07M,50,"$"
KLUJE-OJL-YFA,50,"$"
KLUJE-p3lsJ_8,50,"$"
KLUJE-aPJIsiI,50,"$"
KLUJE-qmv-afQ,50,"$"
KLUJE-M1BP93g,50,"$"
KLUJE-alwAAtQ,50,"$"
KLUJE--7I7VIE,50,"$"
KLUJE-XmAxDZU,50,"$"
KLUJE-VNLIKb8,50,"$"
KLUJE-3yFQ-Rw,50,"$"
KLUJE-XWYk52E,50,"$"
KLUJE-1ReZzGA,50,"$"
KLUJE-JrQgbSI,50,"$"
KLUJE-mdTEsWo,50,"$"
KLUJE-c9Nl9OM,50,"$"
KLUJE-b9rd-aY,50,"$"
KLUJE-XTp1ZXo,50,"$"
KLUJE-hBi96CA,50,"$"
KLUJE-utUX-MU,50,"$"
KLUJE-oo6iARI,50,"$"
KLUJE-y45SspU,50,"$"
KLUJE-lqeN0s0,50,"$"
KLUJE-pLchbf4,50,"$"
KLUJE-7AunTNU,50,"$"
KLUJE-xx-ZlKc,50,"$"
KLUJE-Fl6Vlrw,50,"$"
KLUJE-a4CXnYU,100,"%"
KLUJE-4Cini50,50,"$"
KLUJE-OJXWAXw,50,"$"
KLUJE-N7ETYSY,50,"$"
KLUJE-3URxY-M,50,"$"
KLUJE-i73fmAM,50,"$"
KLUJE-bBHcyEg,50,"$"
KLUJE-QHLx40M,50,"$"
KLUJE-ZyZhrsc,50,"$"
KLUJE-idCYjYY,50,"$"
KLUJE-J8essEo,50,"$"
KLUJE-7ClhLBE,50,"$"
KLUJE-8vkwDNY,50,"$"
KLUJE-B8sIAYk,50,"$"
KLUJE-Ybo3luU,50,"$"
KLUJE-GURrNB8,50,"$"
KLUJE-i1oxLm0,50,"$"
KLUJE-iBP6cnE,50,"$"
KLUJE--fOfELo,50,"$"
KLUJE-8KCWr2I,50,"$"
KLUJE-xRJPqI0,50,"$"
KLUJE-URFfwtk,50,"$"
KLUJE-ynAS6To,50,"$"
KLUJE-frPkV0A,50,"$"
KLUJE-6i_nXHU,50,"$"
KLUJE-Ov6xnTs,50,"$"
KLUJE-AET7uCI,50,"$"
KLUJE-NsuSkdY,50,"$"
KLUJE-wjb7D1E,50,"$"
KLUJE-y0VZiQc,50,"$"
KLUJE-6xTJN5I,50,"$"
KLUJE-4WZS9EE,50,"$"
KLUJE-upvsYlY,50,"$"
KLUJE-Ksf9n6A,50,"$"
KLUJE-yuBRCPE,50,"$"
KLUJE-moMoLO8,50,"$"
KLUJE-gJO7zp0,50,"$"
KLUJE-l0E0GzA,50,"$"
KLUJE-96cxifo,50,"$"
KLUJE-Cr0KC6A,50,"$"
KLUJE-uPlwUhY,50,"$"
KLUJE-dwzxOQA,50,"$"
KLUJE-2hUkhI8,50,"$"
KLUJE-7Iaq65Q,50,"$"
KLUJE-kvq3WyU,50,"$"
KLUJE-ohhdER4,50,"$"
KLUJE--ILp7vc,50,"$"
KLUJE-k2bYnco,50,"$"
KLUJE-xp9IaU4,100,"%"
KLUJE-jfcZJSk,50,"$"
KLUJE-SEn3yJA,50,"$"
KLUJE-v0EdqNE,50,"$"
KLUJE-nCZqV5E,50,"$"
KLUJE-TfU4HpU,50,"$"
KLUJE-WB0xRTo,50,"$"
KLUJE-NW-PiMQ,50,"$"
KLUJE-a90pa1I,50,"$"
KLUJE-nPV51g4,50,"$"
KLUJE-ou_FH90,50,"$"
KLUJE-4_ZWD3U,50,"$"
KLUJE-KMIyNOg,50,"$"
KLUJE--VPfQuc,50,"$"
KLUJE-9019qK8,50,"$"
KLUJE-vB_yV0g,50,"$"
KLUJE-1UH3Law,50,"$"
KLUJE-7I06Ndk,50,"$"
KLUJE-SPqbP4M,50,"$"
KLUJE-H6fibVc,50,"$"
KLUJE-lOFrgZA,50,"$"
KLUJE-FhYisRs,50,"$"
KLUJE-3ltFFkk,50,"$"
KLUJE-soy4t_w,50,"$"
KLUJE-eiFmCFQ,50,"$"
KLUJE-Y5ms8q0,50,"$"
KLUJE-o4g-7Ck,50,"$"
KLUJE-6pfIypo,50,"$"
KLUJE-c6scMuQ,50,"$"
KLUJE-31HwCTI,50,"$"
KLUJE-pd6rW_E,50,"$"
KLUJE-xVm0Kkw,50,"$"
KLUJE-jykUir8,50,"$"
KLUJE-U0tDQ4M,50,"$"
KLUJE-MgIDTuw,50,"$"
KLUJE-yHOB960,50,"$"
KLUJE-fTzZdww,50,"$"
KLUJE-cyuXcuk,50,"$"
KLUJE-U-JGYHk,50,"$"
KLUJE-PEa5fHw,50,"$"
KLUJE-9HnaYSo,50,"$"
KLUJE-MghlhTA,50,"$"
KLUJE-siCCC4M,50,"$"
KLUJE-wxeLHJc,50,"$"
KLUJE-oQhrHxw,50,"$"
KLUJE-aTKh49w,50,"$"
KLUJE-TNl8OD0,50,"$"
KLUJE-W5oxszM,100,"%"
KLUJE-4Vn6x0A,50,"$"
KLUJE-oKXUz_8,50,"$"
KLUJE-shBLJaA,50,"$"
KLUJE-RkvOZbg,50,"$"
KLUJE-KWquJl0,50,"$"
KLUJE-4_hMKJY,50,"$"
KLUJE-TAL5uzA,50,"$"
KLUJE-sJLphQc,50,"$"
KLUJE-w7b0ryE,50,"$"
KLUJE-7GyqC1g,50,"$"
KLUJE-GrrlS4k,50,"$"
KLUJE-KBeUECU,50,"$"
KLUJE-wODfGtg,50,"$"
KLUJE-W_IrBDQ,50,"$"
KLUJE-wqAys_g,50,"$"
KLUJE-9GO1CuY,50,"$"
KLUJE-v24KpIk,50,"$"
KLUJE-4BfD4ZM,50,"$"
KLUJE-UtQbNEM,50,"$"
KLUJE-3QXc6Rg,50,"$"
KLUJE-j6rPPbQ,50,"$"
KLUJE-0KAH5gI,50,"$"
KLUJE-brdaQW0,50,"$"
KLUJE-u33ULrc,50,"$"
KLUJE-jFMazTU,50,"$"
KLUJE-Zcq_AGI,50,"$"
KLUJE-xBk-Vpg,50,"$"
KLUJE-heZldOs,50,"$"
KLUJE-2PuwL2o,50,"$"
KLUJE-SbDB3iE,50,"$"
KLUJE-NmkpNmw,50,"$"
KLUJE-S15K5Q8,50,"$"
KLUJE-Z_M72Fk,50,"$"
KLUJE-NfTbQ7Y,50,"$"
KLUJE-ARYwEj0,50,"$"
KLUJE-DS4fars,50,"$"
KLUJE-6My0AeA,50,"$"
KLUJE-FgJp7iU,50,"$"
KLUJE-E82nxd8,50,"$"
KLUJE-gm9eiUo,50,"$"
